state,city,house_price_per_sqft,number_of_BHKs,school_name,school_email,school_phone_number,college_name,college_email,college_phone_number,weather,temperature,humidity,air_quality,estimated_cost_of_living
Andhra Pradesh,Hyderabad,2752,2 BHK,St Joseph's Boys High School,admin@school.edu,9874000000,St. Joseph's College of Commerce,admin@college.edu,9874000000,Rainy,28,83,33,71533
Andhra Pradesh,Hyderabad,47.23,3 BHK,"Delhi Public School, Sector 5, Gurgaon",dps.sec5@school.edu,1244000000,G D Goenka University,admission@college.edu,1242000000,Sunny,29.4,53,100,1184586
Andhra Pradesh,Hyderabad,9267,4 BHK,Lotus Valley International School,admission@school.edu,9960000000,Lotus Valley International School,admission@college.edu,9960000000,Cloudy,27.5,86,91,34980
Andhra Pradesh,Hyderabad,135,3 BHK,Jain Vidya Mandir,admissions@school.edu,9000000000,Narsee Monjee Institute of Management Studies,admissions@college.edu,9000000000,Sunny,30,16,82,35000
Andhra Pradesh,Visakhapatnam,250,3 BHK,Bangalore International School,admissions@school.edu,9987000000,Bangalore International School,admissions@college.edu,9987000000,Sunny,24,63,115,21000
Andhra Pradesh,Hyderabad,34,3 BHK,Bharatiya Vidya Bhavan's Ashram School,ashramschool@school.edu,1125000000,BHARATIYA VIDYA BHAVAN'S COLLEGE,bhbcollege@college.edu,1125000000,Sunny,24.1,7,66,29344
Andhra Pradesh,Vijayawada,126.66,3 BHK,Oakridge International School,oakridge@school.edu,7340000000,"Birla Institute of Technology and Science, Pilani",biitspilani@college.edu,7412000000,Sunny,31.8,29,27,32203
Andhra Pradesh,Hyderabad,298.82,4 BHK,Jain International Residential School,info@school.edu,4066000000,Bharatiya Vidya Bhavan College of Engineering,bvbecollege@college.edu,4066000000,Sunny,34.2,43,137,30596
Andhra Pradesh,Hyderabad,14.9,1 BHK,Hillwoods International School,hillwoods@school.edu,9966000000,Bharatiya Vidya Bhavan's Rajlakshmi Sarada Vidyalaya,bvbrsv@college.edu,4023000000,Sunny,30.7,15,103,42355
Andhra Pradesh,Visakhapatnam,1.91,3 BHK,Ramakrishna Mission Vidya Mandir,ramakrishna.mission.v.m@school.edu,8385000000,"College of Engineering, Guindy",coe@college.edu,4423000000,Sunny,32.5,63,103,48480
Andhra Pradesh,Hyderabad,1.5,1 BHK,Shivaji Kanya Vidyalaya,shivajikanyavidyalaya@school.edu,1129000000,,college.edu.in@college.edu,1129000000,Rainy,23.1,83,88,3528
Andhra Pradesh,Hyderabad,146.89,3 BHK,DPS,dps.hyd@school.edu,8019000000,St. Mary's College for Women,college.hyd@college.edu,8019000000,Sunny,35.5,31,41,13543
Andhra Pradesh,Hyderabad,12.72,3 BHK,Greenwood High International School,admission@school.edu,7333000000,SRM Institute of Science and Technology,college@college.edu,4427000000,Rainy,27.2,100,143,18017
Andhra Pradesh,Hyderabad,182.2,3 BHK,St. John's International Residential School,mail@school.edu,9867000000,St. John's International Residential School,college@college.edu,9867000000,Cloudy,31.5,26,140,43311
Andhra Pradesh,Nellore,711.68,4 BHK,RK International School,rkint@school.edu,9923000000,Birla Institute of Technology and Science,college@college.edu,9922000000,Cloudy,30.65,57,122,75925
Andhra Pradesh,Vijayawada,10.58,3 BHK,Gems Residential School,residential.school@school.edu,8131000000,Gems Residential School,college@college.edu,8131000000,Cloudy,26.4,34,94,6250
Andhra Pradesh,Vijayawada,2934,2 BHK,S.S.B.P.S,ssbp@school.edu,9886000000,C.R.S. College,crscollegevjy@college.edu,9007000000,Rainy,25.3,85,63,11986
Andhra Pradesh,Hyderabad,132.13,3 BHK,Chinmaya Vidyalaya,cvhyd1@school.edu,8023000000,Chinmaya Vidyalaya,cvmjrcollegehyd@college.edu,9960000000,Sunny,24.1,38,62,99106
Andhra Pradesh,Hyderabad,11400,3 BHK,D.A.V. Public School,da.v.publicschool.b12@school.edu,8031000000,D. A. V. College of Engineering & Technology,da.v.collegeb12@college.edu,8040000000,Cloudy,23.2,71,112,15597
Andhra Pradesh,Hyderabad,1061.76,3 BHK,Jaypee School,jaypee.school@school.edu,7978000000,Ecole Centrale de Lille,ecole.centrale@college.edu,7978000000,Sunny,31.2,36.85,96,18925
Andhra Pradesh,Kurnool,11.1,1,"Govt. High School, Kurnool, Kurnool District, Andhra Pradesh-518001, India",Govt. Hi@gmail.com,7690000128,"Government Polytechnic College, Kurnool, Kurnool - 518001, Andhra Pradesh, India",Government@gmail.com,8467122744,Cloudy,27.8,73,101,424.2
Andhra Pradesh,Vijayawada,132,2 BHK,'R.K. Puram Senior Secondary School',rkpsseniordelhi@school.edu,1126000000,Hansraj College,hansrajcollege@college.edu,1123000000,Rainy,24,66,143,66700
Andhra Pradesh,Hyderabad,18.1,2 BHK,Hyderabad Public School,hyderabadpublic@school.edu,4024000000,Hyderabad Public School,hyderabadpublic@college.edu,4024000000,Sunny,27.76,18,54,39400
Andhra Pradesh,Hyderabad,30.54,3 BHK,Bhartiya Vidya Bhavan Senior Secondary School,bvbhyd@school.edu,9395000000,Indian School of Business,idbschool@college.edu,4066000000,Rainy,23,84,67,12257
Andhra Pradesh,Hyderabad,98.89,2 BHK,"Kendriya Vidyalaya, IIT Delhi",kvidelhi@school.edu,9971000000,IIT Delhi,iitd@college.edu,1127000000,Sunny,33.1,83,49,38560
Andhra Pradesh,Hyderabad,110.36,2 BHK,DPS International School,info@school.edu,7703000000,DPS International College,info@college.edu,7703000000,Stormy,27.1,54,122,7169
Andhra Pradesh,Vijayawada,3114,2 BHK,Bharatiya Vidya Bhavan's Shankara Vidyalaya,info@school.edu,9949000000,Krishna Engineering College,info@college.edu,9849000000,Sunny,35.9,28,95,20000
Andhra Pradesh,Kurnool,42.91,4 BHK,Jaypee Public School,jp.jaypee.gurgaon@school.edu,1244000000,Jaypee Institute of Information Technology,info@college.edu,1244000000,Sunny,31.8,26,21,10149.4
